folder,filename,width,height
columns,cth-column-base-technical-sketch.png,1086,1448
columns,cth-column-capital-schematic-overlay.png,1122,1402
columns,cth-column-corner-capital-blueprint.png,1086,1448
columns,cth-column-full-corinthian-blueprint.png,1122,1402
columns,cth-column-left-rail-full-drafting.png,1086,1448
columns,cth-column-pair-entablature.png,1122,1402
columns,cth-column-partial-right-sketch.png,1122,1402
concept-reference,cth-concept-floor-plans-overview.png,1122,1402
floor-plans,cth-floor-plan-abstract-overlay.png,1254,1254
floor-plans,cth-floor-plan-residential-square.png,1254,1254
floor-plans,cth-floor-plan-vertical-stair-rooms.png,1086,1448
floor-plans,cth-floor-plan-wide-detailed.png,1448,1086
left-side-rail,cth-left-rail-classical-border-detail.png,1086,1448
left-side-rail,cth-left-rail-column-base-blueprint.png,1086,1448
left-side-rail,cth-left-rail-corner-capital-geometric.png,1086,1448
left-side-rail,cth-left-rail-full-column-guide-lines.png,1086,1448
